,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
717158,3.04,2.1745063091407918e-79,0.00046676589861970356,4.581617798606835e-48,1.1087457832104336e-61,1.6116173607689716e-70,2.8393015726534797e-54,4.1668484744741516e-13,5.8229685535173e-29,1.1528582747036722e-48,9.872297653033551e-52,HV,-1
775553,0.4,0.00046676589861970356,7.090400202592512e-08,2.9025390393525483e-65,5.364035185661794e-66,6.79164321631481e-57,4.1668484744741516e-13,5.437178785887903e-09,1.1791218157549974e-73,2.3477252423484396e-86,1.1791218157549974e-73,HV,-1
775032,1.04,7.090400202592512e-08,0.045509644873646095,5.8229685535173e-29,,3.7390849302645935e-40,5.437178785887903e-09,0.02213087446680441,1.9464052738002656e-43,,4.581617798606835e-48,HV,-1
768363,1.12,0.045509644873646095,0.9999999786717801,1.1528582747036722e-48,,,0.02213087446680441,0.7667067650024223,4.2529401493385786e-63,,,HV,-1
768304,1.04,0.9999999786717801,1.5934937884526227e-05,,2.869668865604379e-49,,0.7667067650024223,1.1590699874557621e-07,,2.7490037202279307e-60,,HV,-1
768329,1.44,1.5934937884526227e-05,1.880854479644123e-07,,2.1012127091701578e-29,1.1751744523287492e-27,1.1590699874557621e-07,9.69148200161917e-99,,1.8013198182556788e-47,3.2576011413383126e-31,HV,-1
774746,5.76,1.880854479644123e-07,,2.873397022937326e-14,,1.7496489473203055e-15,9.69148200161917e-99,,1.431794989757825e-84,,4.2529401493385786e-63,HV,-1
762472,0.48,,0.028341477459888353,,8.915260028473417e-101,,,0.7667067650024223,,1.8492851139729247e-85,,HV,-1
762413,0.68,0.028341477459888353,0.9999999786717801,,1.0898737981738669e-83,4.350203988701025e-81,0.7667067650024223,0.8304634168517532,,6.006198800967884e-82,4.350203988701025e-81,HV,-1
762423,0.64,0.9999999786717801,2.8875365205513346e-21,1.431794989757825e-84,4.2919776291220896e-130,2.9289359748596516e-87,0.8304634168517532,4.1407391555186358e-19,8.158025930448504e-83,4.2919776291220896e-130,1.0898737981738669e-83,HV,-1
762474,1.24,2.8875365205513346e-21,4.1407391555186358e-19,1.1087457832104336e-61,1.8704944466796143e-74,5.109188225185949e-90,4.1407391555186358e-19,4.118975856424422e-16,1.3436456959073252e-59,1.6116173607689716e-70,2.9289359748596516e-87,HV,-1
762436,0.64,4.1407391555186358e-19,0.10785099672172843,1.862702768515916e-131,8.290373807692456e-120,8.273631465818134e-102,4.118975856424422e-16,0.7667067650024223,2.0083285843888334e-127,7.413068747384117e-114,2.9289359748596516e-87,HV,-1
762480,0.6,0.10785099672172843,0.9998945640423377,9.784669328557815e-98,2.7637365383711114e-122,2.1826293224615777e-117,0.7667067650024223,0.270329069484192,8.273075916058435e-94,1.5157604415198054e-123,2.1826293224615777e-117,HV,-1
762482,0.54,0.9998945640423377,0.004326422589915993,3.3799574079262145e-116,2.4333925226320105e-172,4.867742419195571e-121,0.270329069484192,0.0878469342643513,2.7637365383711114e-122,2.4333925226320105e-172,9.476686605101574e-129,HV,-1
762484,0.6,0.004326422589915993,1.0562062574758019e-05,9.476686605101574e-129,7.733242540770049e-133,2.4333925226320105e-172,0.0878469342643513,2.9449112249352205e-06,1.862702768515916e-131,1.3837308587101595e-141,2.4333925226320105e-172,HV,-1
762486,0.66,1.0562062574758019e-05,0.9999961756804284,2.4333925226320105e-172,,7.5072648461109715e-103,2.9449112249352205e-06,0.13147918885221888,2.4333925226320105e-172,,5.079324882466895e-115,HV,-1
768724,0.6,0.9999961756804284,0.9644366597493446,7.5072648461109715e-103,8.273631465818134e-102,,0.13147918885221888,0.31778103283453074,9.476686605101574e-129,1.051485277589484e-112,,HV,-1
